label,sentences
anger,i feel bitter that it s not me
anger,i feel the need to like her status even though i don t really like it i m actually sort of bitter about it
anger,i stayed home i'm feeling somewhat bitter
anger,i sat there in frustration realizing that i was the only person in that room with young children competing for those precious hours and feeling bitter that i had been convinced to attend
anger,i feel a little bitter towards the whole disease
anger,i feel bitter
anger,i feel like i'm not a bitter terrible person about it not even at the time
anger,i feel more bitter than usual with my half drunk cafe macchiato while i waited on and on for mail on my phone you persuaded me you were very busy even though i'd get used to your honesty in my heart at the drop of a hat if we were truly friends
anger,i love him but i feel so bitter towards him
anger,i feel a little bitter about some of my life
anger,i feel bitter anger disappointed that it didn t work sad that i ll be alone and frightened that i won t have that support come the end of the month
anger,i'm feeling bitter that i didn't invent skylanders
anger,i'm feeling a little bitter can you tell
anger,i can't help but feel bitter inside as i am tired too and nursing a cold
anger,i feel a bit bitter and i don't want that to take root
anger,i am left feeling somewhat bitter about the entire situation and unsure about what to do next
anger,i feel bitter when i talk to them
anger,i feel like i'm becoming bitter again
anger,i didn t feel bitter
anger,i feel bitter today
anger,i feel bitter alienated restricted anger let down and what more a failure
anger,i feel like i have been around some bitter people
anger,i'm never shy to clarify when i'm feeling bitter but i'm even less shy when it comes to talking about my soft spot for men
anger,i feel bitter that i'm stuck inside the toilet hall
anger,i was left feeling bitter and disappointed that i read a book that wasn't at all what i would like
anger,i cling trying to maintain what i feel is moving away from my grasp and when it finally goes i get bitter and anger in attempt to cover up the hurt i feel from the loss
anger,i was feeling rather bitter about things and wondering why heavenly father wasn't answering what i thought was a righteous desire and request
anger,i will never forget the feeling i felt at that time as it was bitter sweet scared to death still but such a relief knowing your employees were ok
anger,i would love to happy about my time and performance but my feelings are bitter sweet
anger,i know how she cut things off with our co worker al and i know how she words things when she wants to spare feelings and ease things so things do not completely become bitter
anger,i spent a good part of my twenties feeling bitter and unhappy
anger,i assure you that our most pan germanic junker is a sucking dove in his feelings towards england as compared with a real bitter irish american
anger,i still feel like i need to process so much of it and keep it to myself and be bitter but i know my god is calling me to be so much more then so hear i am taking my first step in forgiving her
anger,i still feel such bitter sweet emotion in my heart
anger,i feel myself becoming bitter and uncaring like i need to colse myself off from feelings and not care
anger,i imagine we will feel bitter sweet doesn t really express what i m feeling even now before we ve left because bitter doesn t really convey the way i ache for addie and sweet doesn t really say how incredibly thrilled i am to finally meet ellie claire
anger,i am feeling very bitter sweet over this
anger,i feel really bitter
anger,i feel really bitter: because i can t tell anyone or convince anyone of what i saw
anger,i feel bitter when i see certain people who live a much less healthy lifestyle than mine be healthier than me
anger,i can't think of a single thing in life more important than not feeling bitter at the core
anger,i'm half sick to my stomach feeling bitter and sorry for myself
anger,i feel bitter
anger,i feel a little bit bitter sometimes but i realize that things could have gone a lot worse you know
anger,i feel very very bitter still and i've tried very hard to let it go
anger,i confess i have felt jealousy because i feel beneath and i have railed against the bitter cup of chronic illness god's given and i plead for her forgiveness she just says my dear there is nothing to forgive
anger,i guess i just like this feeling and on top of that i'm not bitter
anger,i dont hate her or anyone i just feel bitter and a need to express myself if not i might just die one day due to missing my sanity so if you are reading this and it affects you one way or another please dont be offended
anger,i'm currently feeling rather bitter
anger,i'm feeling bitter or anything
anger,i feel like this place just makes me bitter because i am not moving up
anger,i've spent the last 2 years of my life many times feeling bitter sad alone broken anger and inadequate
anger,i guess i'm feeling very bitter because i've been in the team when times were bad when we were the underdogs
anger,i feel bitter
anger,i was able to see how sorry i had been feeling for myself and how bitter i had become
anger,i could feel the bitter cold only getting colder as we walked on
anger,i feel a bit bitter from 3anger years of diabetes and disease
anger,i may or may not feel bitter towards
anger,i'm feeling bitter over this program you're right
anger,i feel bitter please don t
anger,i feel bitter
anger,i feel like i've primarily been writing this blog for you guys and i'm not in any way bitter or anything
anger,i imagine are feeling the bitter chill of our yorkshire rain today
anger,i'm feeling a lot of anger and bitterness bitter
anger,i been feeling really bitter towards like everybody and honestly i don't know why ever since i met herald i been all protective of him and get butt hurt when someone talks bad about him and its weird how i care so much
anger,i have begun to feel bitter
anger,i try to be graceful in defeat but internally sometimes i still feel like a bitter little troll when i read the audition results that yet again do not contain my name
anger,i feel like i m being given one bitter pill to swallow after another
anger,i feel the bitter taste of tears upon my tongue
anger,i was blessed never to feel bitter never to dwell in anger
anger,i know most of the student abroad are feeling bitter for they may not get chance to vote in the forthcoming election
anger,i feel the wheels turn away from that bitter road and this is odd because now more than ever there are people i want to hate circumstances i wish to despise
anger,i was beginning to feel bitter
anger,i wont walk away from christ but i am having a heck of a time not feeling bitter about what is going on
anger,i feel really bitter about this overturning: i m really mad at the women
anger,i am feeling a bit bitter and immature tonight so take everything from here on out with a grain of salt
anger,i'm currently feeling a little bitter about this one as we seem to have taken a slight step backward in the sleep department over the last few weeks
anger,i'm feeling especially bitter about it today as it's caused me to confine myself to the walls of my home and cancel plans i had really been looking forward to
anger,i could not help but feeling a little bitter
anger,i feel bitter and sick
anger,i briefly mentioned an incident that left me feeling bitter and anger
anger,i knew why i was feeling bitter about this whole trip
anger,i was feeling bitter and anger and disappointed and unsettled
anger,i feel now it permeates every living cell in my body and colours my life with its bitter hues
anger,i deal with major pride and self esteem issues as well as feeling bitter and vulnerable and over licking my wounds
anger,i must erase this feeling so when i know the bitter fact i will not be really sad
anger,i feel or how bitter the words of a hymn taste
anger,i feel their bitter their dark and deep pain
anger,i'm feeling bitter or annoyed or need to think things through
anger,i feel bitter that my cancer was relegated to 'unnecessary' to meet with someone as important as an oncologist
anger,i'm just feeling a bit bitter towards the subject at the moment
