label,sentences
0,i feel bitter that it s not me
0,i feel the need to like her status even though i don t really like it i m actually sort of bitter about it
0,i stayed home i'm feeling somewhat bitter
0,i sat there in frustration realizing that i was the only person in that room with young children competing for those precious hours and feeling bitter that i had been convinced to attend
0,i feel a little bitter towards the whole disease
0,i feel bitter
0,i feel like i'm not a bitter terrible person about it not even at the time
0,i feel more bitter than usual with my half drunk cafe macchiato while i waited on and on for mail on my phone you persuaded me you were very busy even though i'd get used to your honesty in my heart at the drop of a hat if we were truly friends
0,i love him but i feel so bitter towards him
0,i feel a little bitter about some of my life
0,i feel bitter anger disappointed that it didn t work sad that i ll be alone and frightened that i won t have that support come the end of the month
0,i'm feeling bitter that i didn't invent skylanders
0,i'm feeling a little bitter can you tell
0,i can't help but feel bitter inside as i am tired too and nursing a cold
0,i feel a bit bitter and i don't want that to take root
0,i am left feeling somewhat bitter about the entire situation and unsure about what to do next
0,i feel bitter when i talk to them
0,i feel like i'm becoming bitter again
0,i didn t feel bitter
0,i feel bitter today
0,i feel bitter alienated restricted anger let down and what more a failure
0,i feel like i have been around some bitter people
0,i'm never shy to clarify when i'm feeling bitter but i'm even less shy when it comes to talking about my soft spot for men
0,i feel bitter that i'm stuck inside the toilet hall
0,i was left feeling bitter and disappointed that i read a book that wasn't at all what i would like
0,i cling trying to maintain what i feel is moving away from my grasp and when it finally goes i get bitter and anger in attempt to cover up the hurt i feel from the loss
0,i was feeling rather bitter about things and wondering why heavenly father wasn't answering what i thought was a righteous desire and request
0,i will never forget the feeling i felt at that time as it was bitter sweet scared to death still but such a relief knowing your employees were ok
0,i would love to happy about my time and performance but my feelings are bitter sweet
0,i know how she cut things off with our co worker al and i know how she words things when she wants to spare feelings and ease things so things do not completely become bitter
0,i spent a good part of my twenties feeling bitter and unhappy
0,i assure you that our most pan germanic junker is a sucking dove in his feelings towards england as compared with a real bitter irish american
0,i still feel like i need to process so much of it and keep it to myself and be bitter but i know my god is calling me to be so much more then so hear i am taking my first step in forgiving her
0,i still feel such bitter sweet emotion in my heart
0,i feel myself becoming bitter and uncaring like i need to colse myself off from feelings and not care
